time,year,month,reserve,dry_kg,wet_kg,total_kg
10/31/19,2019,10,Rias occidentales y Duna de Oyambre,768.4439165,67.54614065,835.9900571
10/31/19,2019,10,Dunas de Liencres y Estuario del Pas,51.46890152,1.928318937,53.39722046
10/31/19,2019,10,Balsa del Pulguer,-24.73571077,4.91E-13,-24.73571077
10/31/19,2019,10,Montes del Cerrato,1139.473929,-1.51E-11,1139.473929
10/31/19,2019,10,Basses de l'Albera,198.8386449,-6.76E-12,198.8386449
10/31/19,2019,10,Les Gavarres,4133.725977,2640.254801,6773.980778
10/31/19,2019,10,Prat de Cabanes i Torreblanca,720.1943343,-1.89E-11,720.1943343
10/31/19,2019,10,Urkiola,7745.589331,26.72810282,7772.317434
10/31/19,2019,10,Alto Navia,-10.97211967,-0.899209477,-11.87132915
10/31/19,2019,10,Badina Escudera,72.52084973,-1.44E-12,72.52084973
10/31/19,2019,10,LA GUARGUERA,41.66203442,0.510108431,42.17214285
10/31/19,2019,10,TURBERAS DE ACUMUER,0,0,0
10/31/19,2019,10,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
10/31/19,2019,10,Plans de Sió,1750.651995,581.3343644,2331.986359
10/31/19,2019,10,Serra d'en Galceràn,4762.542438,-1.10E-10,4762.542438
10/31/19,2019,10,Ullals del riu Verd,0,0,0
10/31/19,2019,10,Río Guadalmedina,0,0,0
11/30/19,2019,11,Sierra Plana de la Borbolla,1254.213639,0.661744388,1254.875384
11/30/19,2019,11,Rias occidentales y Duna de Oyambre,-1630.542697,5.09E-12,-1630.542697
11/30/19,2019,11,Dunas de Liencres y Estuario del Pas,208.2296442,-1.19E-12,208.2296442
11/30/19,2019,11,Balsa del Pulguer,-75.89615157,1.80E-12,-75.89615157
11/30/19,2019,11,Montes del Cerrato,-1054.508585,1.95E-11,-1054.508585
11/30/19,2019,11,Basses de l'Albera,1606.108878,-4.18E-12,1606.108878
11/30/19,2019,11,Les Gavarres,48619.20676,-1.34E-10,48619.20676
11/30/19,2019,11,Prat de Cabanes i Torreblanca,127.2411593,-3.48E-12,127.2411593
11/30/19,2019,11,Urkiola,-4913.087432,8.94E-12,-4913.087432
11/30/19,2019,11,Alto Navia,3.863546075,0.246214084,4.109760158
11/30/19,2019,11,Badina Escudera,8.079474261,-1.92E-13,8.079474261
11/30/19,2019,11,LA GUARGUERA,177.595425,-9.65E-13,177.595425
11/30/19,2019,11,TURBERAS DE ACUMUER,0,0,0
11/30/19,2019,11,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
11/30/19,2019,11,Plans de Sió,41.50755345,1.50E-12,41.50755345
11/30/19,2019,11,Serra d'en Galceràn,1801.647207,9.857408571,1811.504615
11/30/19,2019,11,Ullals del riu Verd,0,0,0
11/30/19,2019,11,Río Guadalmedina,0,0,0
12/31/19,2019,12,Sierra Plana de la Borbolla,179.3211315,-9.81E-13,179.3211315
12/31/19,2019,12,Rias occidentales y Duna de Oyambre,-947.6738689,5.25E-12,-947.6738689
12/31/19,2019,12,Dunas de Liencres y Estuario del Pas,1.782395765,-9.11E-15,1.782395765
12/31/19,2019,12,Balsa del Pulguer,1.219490791,-3.40E-14,1.219490791
12/31/19,2019,12,Montes del Cerrato,-9.06538319,4.18E-13,-9.06538319
12/31/19,2019,12,Basses de l'Albera,1294.205568,-2.45E-12,1294.205568
12/31/19,2019,12,Les Gavarres,75832.79578,-1.14E-10,75832.79578
12/31/19,2019,12,Prat de Cabanes i Torreblanca,-212.3030359,9.31E-12,-212.3030359
12/31/19,2019,12,Urkiola,-16207.51307,2.88E-11,-16207.51307
12/31/19,2019,12,Alto Navia,45.37738026,-5.79E-13,45.37738026
12/31/19,2019,12,Badina Escudera,-20.43320263,5.69E-13,-20.43320263
12/31/19,2019,12,LA GUARGUERA,-668.6248289,1.67E-12,-668.6248289
12/31/19,2019,12,TURBERAS DE ACUMUER,0,0,0
12/31/19,2019,12,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
12/31/19,2019,12,Plans de Sió,-469.5332313,-9.01E-13,-469.5332313
12/31/19,2019,12,Serra d'en Galceràn,481.0907843,-2.34E-11,481.0907843
12/31/19,2019,12,Ullals del riu Verd,0,0,0
12/31/19,2019,12,Río Guadalmedina,0,0,0
1/31/20,2020,1,Sierra Plana de la Borbolla,3277.940318,-8.02E-12,3277.940318
1/31/20,2020,1,Rias occidentales y Duna de Oyambre,-688.4519762,1.76E-12,-688.4519762
